Brand,Model,Battery_Life_Minutes,Charging_Time_Hours,Dustbin_Capacity_ml,Suction_Power_Pa,Noise_Level_dB,WiFi_Connectivity,App_Control,Voice_Control,Mapping_Technology,Obstacle_Avoidance,HEPA_Filter,Auto_Dock,Runtime_Adjustment,Carpet_Boost,Number_of_Sensors,Weight_kg,Height_cm,Smart_Scheduling,Multi_Floor_Mapping,Mop_Function,Self_Emptying,Price_USD
Roborock,Roborock V66 Max,155,5.8,689,2047,56,No,Yes,No,Camera,Yes,Yes,Yes,No,Yes,18,3.4,10.3,No,Yes,No,Yes,170
iRobot,iRobot V85 Ultra,85,5.1,640,4219,62,No,Yes,No,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,8,3.2,8.3,Yes,No,No,Yes,943
Dreame,Dreame V64 Pro,64,3.1,416,2947,56,No,Yes,Yes,Lidar+Camera,No,No,Yes,No,Yes,11,2.8,7.4,Yes,Yes,No,No,794
Proscenic,Proscenic V89 Pro,156,3.8,440,1699,68,Yes,No,No,Lidar+Camera,No,Yes,No,Yes,No,13,4.6,8.2,Yes,Yes,Yes,Yes,283
Eufy,Eufy R35 Max,122,3.1,392,2660,68,Yes,Yes,No,Infrared,Yes,No,Yes,No,No,16,2.8,10.4,No,Yes,Yes,Yes,607
Neato,Neato V89 Pro,104,4.9,369,5049,67,No,No,No,Lidar+Camera,Yes,No,No,No,Yes,8,5.3,10.0,Yes,Yes,Yes,Yes,434
Proscenic,Proscenic R51 Pro,141,5.5,488,2795,66,No,No,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,9,3.9,7.7,No,No,Yes,No,998
Neato,Neato R14 Max,110,3.6,387,5222,67,Yes,No,No,Infrared,Yes,No,Yes,Yes,No,18,4.3,7.9,Yes,Yes,Yes,Yes,321
Eufy,Eufy V85 Ultra,76,3.5,463,4523,61,No,Yes,Yes,Infrared,No,Yes,Yes,No,Yes,16,3.4,7.2,No,No,No,Yes,778
Neato,Neato X70 Ultra,107,5.0,388,4065,67,No,No,Yes,Camera,Yes,No,No,Yes,Yes,17,2.8,10.4,No,No,No,No,911
Samsung,Samsung R14,166,3.7,482,3011,67,No,Yes,No,Camera,Yes,No,No,Yes,Yes,18,5.3,10.6,Yes,No,Yes,No,439
LG,LG V21 Ultra,127,4.0,641,2910,69,Yes,Yes,Yes,Infrared,No,No,Yes,No,No,14,2.8,10.0,Yes,No,No,No,794
Eufy,Eufy S8,105,2.6,381,4164,63,Yes,Yes,Yes,Camera,Yes,Yes,No,Yes,No,9,3.1,8.2,No,Yes,No,Yes,937
Neato,Neato V24 Max,126,4.6,383,2618,67,No,No,Yes,Lidar+Camera,Yes,No,Yes,Yes,No,11,2.8,8.7,No,No,No,Yes,633
Proscenic,Proscenic S72 Ultra,132,2.6,482,2318,58,No,No,Yes,Infrared,No,Yes,No,No,Yes,17,5.2,9.4,Yes,Yes,No,Yes,474
LG,LG S75 Ultra,88,5.6,573,4582,55,Yes,No,Yes,Infrared,No,Yes,No,No,No,9,3.4,9.5,No,Yes,No,No,402
Ecovacs,Ecovacs S15,141,3.4,467,4444,63,Yes,Yes,No,Lidar+Camera,No,No,No,Yes,Yes,14,5.5,7.1,Yes,Yes,Yes,Yes,527
LG,LG X65 Max,172,4.7,647,3297,57,Yes,Yes,Yes,Lidar,Yes,Yes,No,No,Yes,14,2.9,8.4,Yes,Yes,No,No,1023
Samsung,Samsung V81,89,5.1,579,5090,56,Yes,Yes,No,Lidar,Yes,Yes,Yes,No,No,17,3.0,8.9,Yes,No,No,No,829
Dreame,Dreame X29 Pro,85,5.7,388,1846,56,No,No,Yes,Lidar,Yes,Yes,No,Yes,Yes,9,3.2,9.3,Yes,No,Yes,Yes,752
Dreame,Dreame V27 Max,75,3.4,693,5090,62,No,No,Yes,Infrared,No,No,No,No,No,20,2.6,8.0,No,No,Yes,No,169
Samsung,Samsung V47 Max,190,5.7,653,3801,63,Yes,No,Yes,Camera,Yes,No,Yes,No,No,16,3.0,8.6,Yes,Yes,No,No,995
iRobot,iRobot R58 Ultra,79,5.1,394,2834,62,Yes,No,No,Camera,No,No,Yes,No,No,8,5.2,10.9,Yes,Yes,No,No,918
Dreame,Dreame X7 Ultra,68,4.5,595,5324,69,No,Yes,Yes,Lidar+Camera,Yes,Yes,No,No,No,6,4.7,8.9,No,No,No,Yes,1114
iRobot,iRobot X32 Max,62,4.4,698,5769,70,No,No,Yes,Lidar+Camera,Yes,Yes,No,No,No,8,3.2,8.6,No,Yes,Yes,No,270
Eufy,Eufy R50 Pro,185,3.6,359,4630,59,No,No,Yes,Lidar+Camera,Yes,No,Yes,Yes,No,9,4.8,7.3,No,No,No,No,619
Roborock,Roborock R83,73,2.7,611,4617,62,No,No,Yes,Infrared,Yes,Yes,Yes,Yes,No,6,4.8,10.7,No,No,No,Yes,920
Neato,Neato R81 Max,60,2.9,561,2891,60,No,No,Yes,Lidar+Camera,Yes,Yes,No,No,No,8,3.4,10.6,No,Yes,Yes,No,859
Roborock,Roborock V84 Max,80,5.0,502,5659,55,Yes,Yes,No,Lidar+Camera,Yes,No,Yes,Yes,No,13,2.6,8.3,Yes,No,No,No,1085
Roborock,Roborock V70 Ultra,145,5.6,627,1651,66,No,No,No,Camera,Yes,No,No,No,No,12,3.0,9.0,Yes,No,Yes,No,243
Dreame,Dreame R75 Pro,168,5.5,490,5537,58,Yes,Yes,No,Lidar+Camera,No,No,Yes,Yes,No,18,5.1,7.8,Yes,No,No,Yes,644
Xiaomi,Xiaomi R79 Pro,178,5.2,432,5534,66,Yes,Yes,Yes,Infrared,Yes,No,Yes,Yes,Yes,6,3.0,9.3,No,No,Yes,No,402
iRobot,iRobot V39 Max,151,4.7,457,3724,56,Yes,Yes,No,Camera,No,No,Yes,Yes,No,8,5.0,8.4,Yes,Yes,Yes,Yes,586
Samsung,Samsung S29 Max,77,5.0,467,3345,68,Yes,Yes,No,Infrared,No,No,Yes,Yes,No,13,3.7,7.5,Yes,Yes,Yes,No,672
Samsung,Samsung S19 Max,140,3.2,385,1865,69,No,Yes,Yes,Lidar+Camera,Yes,No,No,No,Yes,20,4.4,8.4,No,No,No,No,406
Samsung,Samsung S33 Pro,177,2.8,627,5345,59,No,No,Yes,Camera,Yes,Yes,No,Yes,No,7,2.7,7.6,Yes,Yes,No,Yes,525
Ecovacs,Ecovacs V78,136,4.0,384,1591,56,Yes,Yes,No,Camera,No,Yes,No,Yes,Yes,8,4.2,8.1,Yes,Yes,Yes,Yes,450
Ecovacs,Ecovacs R64 Ultra,192,3.9,631,2604,67,Yes,No,No,Infrared,Yes,No,No,No,Yes,13,5.0,10.7,No,Yes,Yes,No,1047
Neato,Neato R24,159,3.3,451,1654,70,No,Yes,Yes,Lidar,No,Yes,Yes,Yes,No,19,3.8,8.7,No,Yes,Yes,No,371
Samsung,Samsung R84,155,4.8,653,4098,65,No,Yes,Yes,Camera,No,Yes,No,No,Yes,9,4.9,7.2,No,Yes,No,No,422
Dreame,Dreame R19 Ultra,120,5.8,620,5510,62,Yes,No,Yes,Lidar+Camera,Yes,Yes,No,Yes,Yes,16,2.9,10.4,No,Yes,Yes,No,309
Neato,Neato R22,164,4.9,672,1959,64,No,No,No,Infrared,No,No,No,Yes,No,11,4.2,8.2,No,No,Yes,No,460
LG,LG X82 Pro,101,2.7,445,3915,70,Yes,No,Yes,Camera,Yes,No,Yes,No,Yes,20,5.4,9.8,Yes,No,Yes,Yes,931
Neato,Neato S53 Ultra,122,3.6,607,2080,58,Yes,No,Yes,Infrared,Yes,Yes,Yes,Yes,No,19,2.8,7.3,No,Yes,Yes,No,884
LG,LG S57,134,3.8,487,1588,65,Yes,Yes,Yes,Infrared,Yes,No,Yes,Yes,No,14,5.0,8.1,Yes,No,No,No,1192
Proscenic,Proscenic V40 Pro,75,3.3,640,4545,67,Yes,Yes,No,Infrared,No,Yes,No,No,No,19,3.5,11.0,Yes,Yes,No,No,817
Xiaomi,Xiaomi X27 Ultra,93,5.3,684,3619,65,No,No,No,Lidar,No,Yes,No,No,No,10,3.9,10.1,Yes,No,Yes,Yes,340
Xiaomi,Xiaomi X69,132,2.7,652,3203,58,No,No,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,18,5.3,10.5,Yes,Yes,Yes,Yes,237
Dreame,Dreame R11 Max,189,5.2,531,4296,63,Yes,Yes,Yes,Camera,No,No,Yes,Yes,Yes,13,3.6,7.4,No,No,No,Yes,228
Neato,Neato X43 Max,175,4.7,658,3323,61,No,No,No,Lidar+Camera,Yes,No,Yes,No,No,10,5.3,9.9,No,Yes,No,No,759
LG,LG X46 Pro,192,5.3,401,3306,55,No,Yes,No,Lidar+Camera,Yes,No,Yes,Yes,No,18,3.6,9.4,Yes,Yes,No,Yes,1163
Eufy,Eufy X18 Max,196,2.5,460,2862,70,No,No,Yes,Lidar+Camera,Yes,Yes,No,No,No,6,4.1,9.7,No,No,No,Yes,700
Dreame,Dreame S81 Pro,121,6.0,453,1984,60,Yes,Yes,Yes,Infrared,No,Yes,No,Yes,No,7,5.1,8.9,Yes,No,No,Yes,1184
Neato,Neato R78 Max,172,5.7,491,5441,64,No,Yes,Yes,Infrared,Yes,Yes,Yes,No,No,16,3.1,9.8,Yes,No,No,Yes,973
Xiaomi,Xiaomi R85 Ultra,128,5.9,374,3869,57,No,Yes,Yes,Lidar+Camera,Yes,No,No,No,Yes,19,5.0,7.6,No,Yes,Yes,Yes,996
Roborock,Roborock V25 Ultra,96,5.5,361,2809,60,Yes,No,No,Camera,Yes,Yes,No,Yes,No,12,4.5,10.5,No,Yes,No,Yes,1125
LG,LG V66,164,4.0,584,3019,59,Yes,No,No,Infrared,No,No,Yes,Yes,No,19,4.0,9.8,Yes,No,No,Yes,796
Neato,Neato S67 Pro,151,3.9,432,1924,69,Yes,No,No,Infrared,Yes,No,Yes,Yes,No,9,4.7,8.3,Yes,Yes,Yes,Yes,911
Roborock,Roborock S86 Max,133,5.5,404,3222,70,Yes,No,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,18,3.0,10.2,No,Yes,No,No,976
Ecovacs,Ecovacs R9,81,3.7,594,3830,59,No,Yes,Yes,Lidar+Camera,No,Yes,No,Yes,No,10,4.4,8.3,Yes,Yes,No,Yes,1015
Samsung,Samsung R94 Pro,88,5.7,491,4677,56,No,No,Yes,Camera,No,Yes,No,Yes,Yes,18,4.2,9.4,No,No,No,Yes,1037
iRobot,iRobot S95 Ultra,172,2.8,590,5676,61,No,No,Yes,Camera,No,No,No,No,No,17,3.4,7.3,No,No,No,Yes,197
Eufy,Eufy X9 Pro,70,2.6,510,4214,68,No,Yes,Yes,Camera,No,No,Yes,No,No,10,3.1,9.5,No,Yes,Yes,No,912
Samsung,Samsung R94 Max,131,5.5,360,5557,59,Yes,No,Yes,Infrared,Yes,Yes,No,Yes,Yes,19,3.4,10.3,No,Yes,No,Yes,286
LG,LG V90 Pro,63,3.0,604,2056,61,Yes,No,No,Lidar+Camera,No,No,No,Yes,No,9,4.0,7.6,No,No,No,Yes,1056
Samsung,Samsung R59 Ultra,159,5.0,437,1925,60,No,No,Yes,Lidar+Camera,Yes,Yes,No,No,Yes,17,5.0,10.6,No,No,Yes,Yes,173
Xiaomi,Xiaomi X16,110,4.6,399,1501,68,Yes,Yes,Yes,Infrared,No,No,No,Yes,No,14,4.4,8.3,Yes,No,No,No,738
LG,LG X64,198,4.4,575,4174,62,No,Yes,Yes,Lidar+Camera,Yes,No,Yes,Yes,Yes,6,3.9,9.0,Yes,Yes,No,No,1165
iRobot,iRobot V74 Ultra,121,2.6,676,2702,67,No,No,No,Camera,No,No,Yes,No,No,12,3.0,7.1,Yes,No,No,Yes,631
iRobot,iRobot S34 Ultra,107,2.6,466,3268,68,No,Yes,Yes,Lidar+Camera,Yes,Yes,No,No,Yes,6,3.0,8.7,No,Yes,No,No,420
Ecovacs,Ecovacs V48 Ultra,185,4.2,427,4917,67,No,Yes,Yes,Infrared,No,No,No,No,Yes,19,4.0,8.7,No,No,No,Yes,351
iRobot,iRobot R46 Ultra,165,3.4,625,4681,60,No,No,Yes,Lidar,Yes,Yes,No,No,Yes,14,4.5,9.0,No,No,No,No,1127
Samsung,Samsung S63 Ultra,70,5.9,664,2728,58,No,No,Yes,Lidar+Camera,No,Yes,Yes,No,Yes,18,4.9,9.3,Yes,No,Yes,Yes,422
Dreame,Dreame S36,129,4.0,529,4233,66,Yes,Yes,No,Infrared,No,Yes,No,Yes,No,17,4.5,9.0,Yes,Yes,Yes,Yes,966
Samsung,Samsung S34 Max,146,2.7,357,4479,64,Yes,No,Yes,Infrared,No,Yes,No,Yes,No,13,4.9,8.9,Yes,No,No,Yes,835
Ecovacs,Ecovacs V55,102,5.5,455,1781,61,No,No,No,Camera,Yes,No,Yes,No,Yes,11,4.3,10.0,Yes,No,No,Yes,952
Proscenic,Proscenic X19 Max,161,4.1,485,4002,69,No,Yes,Yes,Infrared,No,No,No,No,Yes,18,4.3,9.6,No,Yes,Yes,Yes,574
Samsung,Samsung S77 Max,66,2.7,621,4649,58,Yes,Yes,No,Infrared,Yes,Yes,Yes,Yes,Yes,19,4.2,7.6,No,No,No,No,648
Ecovacs,Ecovacs X61 Pro,154,2.5,540,4183,69,Yes,Yes,No,Infrared,Yes,Yes,Yes,No,No,17,5.2,8.0,No,No,Yes,No,797
Ecovacs,Ecovacs S35 Pro,166,3.9,621,1936,68,Yes,No,Yes,Infrared,Yes,Yes,Yes,No,Yes,12,5.5,7.5,No,Yes,Yes,No,551
Neato,Neato X10 Pro,79,3.5,407,5259,59,Yes,No,Yes,Camera,Yes,No,No,No,Yes,15,4.4,7.0,Yes,Yes,Yes,Yes,577
Xiaomi,Xiaomi R11,195,5.8,441,4629,62,No,Yes,Yes,Lidar,No,No,Yes,No,No,17,3.6,9.7,No,No,No,Yes,701
LG,LG V52 Max,123,3.7,452,1997,69,No,No,Yes,Infrared,No,Yes,Yes,No,Yes,12,3.4,7.5,No,Yes,Yes,No,542
LG,LG V93,159,4.8,616,4442,65,No,Yes,Yes,Infrared,No,Yes,Yes,Yes,No,18,5.1,10.1,Yes,No,Yes,Yes,696
LG,LG R8 Pro,63,4.9,633,2967,56,Yes,No,Yes,Lidar,No,No,No,Yes,No,9,4.8,7.7,No,No,No,Yes,436
Roborock,Roborock X40,181,6.0,463,3187,64,No,No,No,Infrared,No,No,Yes,No,Yes,16,3.1,10.8,No,No,Yes,No,1125
Eufy,Eufy S47 Max,135,3.3,543,2085,57,Yes,No,No,Infrared,Yes,No,Yes,Yes,No,15,4.9,9.7,Yes,No,Yes,No,644
Xiaomi,Xiaomi V67 Ultra,84,3.9,519,1770,59,Yes,No,Yes,Lidar,Yes,Yes,No,Yes,Yes,20,2.6,8.7,No,No,No,Yes,939
Roborock,Roborock X10 Ultra,157,3.4,383,2695,59,Yes,No,Yes,Infrared,No,No,No,No,No,11,2.8,9.0,No,No,Yes,Yes,1192
iRobot,iRobot R86 Max,149,3.7,617,5936,64,Yes,Yes,No,Camera,Yes,Yes,Yes,No,No,6,4.1,10.3,No,No,Yes,No,343
Xiaomi,Xiaomi V24,194,4.0,638,1584,61,Yes,Yes,Yes,Camera,No,Yes,Yes,No,Yes,18,2.5,8.0,No,No,No,No,896
Dreame,Dreame X15 Ultra,150,4.8,445,5790,62,No,Yes,Yes,Lidar+Camera,Yes,No,Yes,No,Yes,12,5.0,9.3,No,No,Yes,Yes,380
Proscenic,Proscenic S99,86,5.4,638,3819,63,No,No,Yes,Lidar+Camera,No,No,No,No,No,14,3.4,10.3,No,Yes,Yes,No,417
Eufy,Eufy V78,155,3.7,621,1533,62,No,No,Yes,Camera,No,Yes,No,No,Yes,6,3.8,8.7,Yes,Yes,Yes,Yes,1173
Xiaomi,Xiaomi R28 Ultra,113,4.3,640,2989,68,Yes,No,Yes,Infrared,No,No,No,Yes,No,7,4.2,8.3,No,Yes,No,Yes,998
Roborock,Roborock X93 Ultra,195,3.5,427,1946,66,Yes,Yes,No,Lidar,No,No,Yes,No,Yes,13,4.8,7.5,No,Yes,No,No,1140
Dreame,Dreame X10 Ultra,190,5.2,513,2194,55,No,No,No,Lidar+Camera,Yes,Yes,Yes,No,Yes,18,4.3,10.0,Yes,Yes,Yes,Yes,1076
Proscenic,Proscenic V80 Ultra,163,5.9,463,1769,62,Yes,Yes,No,Camera,Yes,Yes,Yes,Yes,Yes,19,3.1,9.0,No,No,No,Yes,1121
Dreame,Dreame X77 Pro,172,4.6,548,3349,68,Yes,No,No,Lidar,No,No,Yes,No,No,16,3.7,10.7,Yes,No,No,No,398
Xiaomi,Xiaomi V10 Ultra,75,3.6,625,4915,57,No,No,Yes,Lidar+Camera,No,No,No,No,Yes,18,3.8,9.2,No,Yes,No,No,859
Neato,Neato S57 Ultra,158,4.8,507,2074,56,Yes,Yes,Yes,Camera,No,Yes,No,Yes,No,17,5.4,7.8,No,No,No,No,1189
Dreame,Dreame R40 Pro,123,5.8,596,3200,62,No,No,Yes,Camera,No,No,Yes,No,Yes,15,2.6,9.5,Yes,No,Yes,No,851
iRobot,iRobot V48 Max,195,3.2,406,3938,64,Yes,Yes,Yes,Camera,Yes,No,Yes,Yes,No,14,3.7,10.3,Yes,Yes,Yes,No,159
Dreame,Dreame V15 Ultra,74,3.3,534,4574,66,Yes,Yes,Yes,Lidar,No,No,Yes,No,Yes,13,3.4,10.1,Yes,Yes,Yes,No,391
Dreame,Dreame R56,128,5.2,631,2395,62,Yes,No,Yes,Lidar,Yes,No,No,Yes,Yes,12,4.0,7.3,No,Yes,Yes,Yes,574
Samsung,Samsung R45,148,4.8,515,3590,69,No,No,No,Lidar,No,Yes,Yes,Yes,Yes,16,3.8,9.7,Yes,No,No,No,279
Ecovacs,Ecovacs R67 Pro,185,3.3,388,2743,64,No,Yes,No,Lidar,No,Yes,Yes,Yes,Yes,8,3.1,10.7,Yes,Yes,No,Yes,941
LG,LG S96,119,5.8,432,5202,60,Yes,No,Yes,Camera,Yes,Yes,No,No,No,18,3.3,8.0,Yes,No,Yes,No,1154
iRobot,iRobot V13 Max,195,5.9,677,1701,59,No,No,Yes,Lidar,No,No,Yes,Yes,Yes,6,3.0,8.5,No,No,No,No,1070
Samsung,Samsung X15 Pro,125,5.9,586,3825,64,No,Yes,Yes,Camera,Yes,Yes,No,Yes,No,19,4.6,7.2,Yes,Yes,No,No,311
Dreame,Dreame S87 Ultra,157,4.4,687,4942,67,No,No,No,Lidar+Camera,Yes,Yes,Yes,Yes,No,10,2.5,10.7,Yes,Yes,No,No,567
Ecovacs,Ecovacs R44 Pro,81,4.9,513,5145,69,Yes,Yes,Yes,Camera,Yes,No,Yes,Yes,Yes,8,3.9,8.3,Yes,No,No,No,590
Dreame,Dreame V30 Max,76,3.7,637,4752,67,Yes,No,No,Camera,No,Yes,No,Yes,Yes,8,5.4,7.6,No,Yes,Yes,No,324
Eufy,Eufy X25 Max,105,6.0,450,3734,69,No,No,Yes,Lidar+Camera,Yes,No,No,No,No,8,3.3,10.4,Yes,Yes,No,Yes,779
Eufy,Eufy S77,113,2.8,543,1792,67,No,No,No,Camera,No,Yes,Yes,No,Yes,16,2.8,7.5,No,No,Yes,Yes,674
Roborock,Roborock R20,168,3.0,415,4599,61,Yes,No,No,Lidar,Yes,No,Yes,No,Yes,11,3.4,10.1,Yes,Yes,No,No,701
Eufy,Eufy S76 Max,101,4.2,399,4268,68,No,No,Yes,Lidar+Camera,No,Yes,No,No,Yes,14,4.1,7.2,No,Yes,Yes,No,211
Proscenic,Proscenic S14 Pro,196,5.6,485,1727,56,Yes,No,No,Camera,Yes,No,Yes,No,Yes,20,3.6,9.1,Yes,Yes,No,No,1113
Neato,Neato X36 Ultra,75,4.3,489,2485,60,No,Yes,Yes,Infrared,No,No,No,Yes,No,8,2.6,8.2,Yes,No,No,No,328
Samsung,Samsung R99,83,3.6,459,4710,65,No,Yes,Yes,Camera,No,No,Yes,No,Yes,20,4.4,9.7,Yes,Yes,Yes,Yes,679
Proscenic,Proscenic S65 Pro,158,2.5,472,4867,55,No,Yes,Yes,Camera,No,No,No,No,Yes,6,3.8,10.1,Yes,No,Yes,No,459
Xiaomi,Xiaomi X9 Ultra,166,4.6,361,5071,59,Yes,Yes,Yes,Lidar,No,Yes,Yes,No,Yes,11,3.2,7.2,Yes,Yes,No,No,769
Roborock,Roborock R97 Pro,152,4.3,624,5247,66,Yes,Yes,Yes,Camera,No,No,Yes,Yes,No,19,5.4,7.4,No,Yes,No,Yes,157
Samsung,Samsung R20 Max,126,3.6,633,3910,62,Yes,Yes,Yes,Camera,No,No,No,Yes,Yes,8,5.0,10.6,No,No,Yes,No,761
Ecovacs,Ecovacs X91,197,3.0,445,3780,59,Yes,Yes,Yes,Lidar,Yes,No,Yes,No,No,12,2.7,9.7,Yes,Yes,No,No,604
Xiaomi,Xiaomi X49 Max,109,3.0,423,2772,61,No,No,No,Lidar+Camera,Yes,No,Yes,Yes,Yes,6,2.8,10.8,No,No,No,Yes,255
LG,LG S86,156,5.9,475,3253,60,No,No,Yes,Infrared,Yes,Yes,No,Yes,No,8,4.8,10.0,Yes,No,Yes,Yes,768
iRobot,iRobot V41 Pro,75,5.8,376,3383,61,Yes,Yes,Yes,Infrared,Yes,No,No,No,No,15,4.4,8.3,Yes,No,Yes,Yes,1159
Proscenic,Proscenic V91 Max,168,5.0,409,5882,65,No,Yes,No,Infrared,Yes,No,Yes,Yes,Yes,10,4.3,10.7,No,Yes,Yes,Yes,450
Ecovacs,Ecovacs X50 Ultra,82,3.3,548,1977,58,No,Yes,Yes,Camera,No,No,Yes,Yes,Yes,14,4.8,8.5,No,Yes,No,No,667
Neato,Neato V66 Ultra,72,2.6,481,2262,70,Yes,No,Yes,Camera,Yes,Yes,Yes,Yes,Yes,17,3.5,7.1,Yes,Yes,Yes,Yes,972
LG,LG S34,172,3.0,620,2434,57,Yes,Yes,Yes,Lidar,No,Yes,No,Yes,Yes,7,4.5,7.7,No,No,Yes,No,495
Roborock,Roborock R32,64,5.1,618,4374,68,No,Yes,Yes,Camera,Yes,Yes,No,No,Yes,6,5.3,7.0,Yes,Yes,Yes,Yes,1181
Ecovacs,Ecovacs S12 Max,176,3.9,498,2978,64,Yes,No,Yes,Camera,Yes,No,No,No,No,15,4.7,8.2,Yes,No,No,Yes,584
Xiaomi,Xiaomi V53,140,4.6,645,1991,64,No,No,No,Lidar,No,Yes,Yes,No,No,6,4.3,10.3,Yes,Yes,Yes,No,950
LG,LG S15,96,3.9,643,4820,56,Yes,Yes,No,Lidar+Camera,Yes,Yes,Yes,Yes,No,13,4.4,10.6,Yes,No,No,No,500
Eufy,Eufy X90 Pro,147,2.9,543,4264,62,Yes,Yes,No,Camera,Yes,No,Yes,Yes,No,20,5.2,7.7,Yes,Yes,No,No,983
Roborock,Roborock X22 Max,149,3.5,465,5471,56,No,No,No,Infrared,Yes,Yes,No,Yes,Yes,16,4.1,10.3,No,No,No,Yes,564
Roborock,Roborock S9,99,5.0,600,5625,63,Yes,Yes,No,Lidar+Camera,No,Yes,No,No,No,20,4.4,8.6,Yes,Yes,Yes,Yes,670
Roborock,Roborock R62 Max,163,4.3,371,5650,55,Yes,No,Yes,Infrared,Yes,No,Yes,No,No,19,5.1,10.9,No,Yes,Yes,No,284
Eufy,Eufy R40 Ultra,195,5.5,396,1555,63,Yes,No,Yes,Camera,No,No,No,Yes,Yes,12,4.1,7.7,No,Yes,No,No,632
Proscenic,Proscenic S58 Max,92,5.9,633,3226,60,Yes,No,No,Infrared,Yes,No,No,No,No,16,3.2,8.0,No,No,Yes,No,484
iRobot,iRobot V37 Pro,168,5.9,598,1849,70,Yes,No,Yes,Lidar+Camera,No,No,No,Yes,Yes,12,5.4,9.7,No,No,No,Yes,510
LG,LG X61 Max,186,3.5,664,2324,67,No,No,No,Camera,Yes,Yes,Yes,No,No,15,3.9,7.4,No,No,Yes,Yes,1170
iRobot,iRobot V83 Max,184,2.7,632,2727,69,No,No,Yes,Lidar+Camera,Yes,No,No,Yes,No,11,4.5,8.2,Yes,Yes,Yes,Yes,363
Roborock,Roborock S14,67,5.1,567,4911,55,No,No,Yes,Lidar+Camera,No,No,Yes,Yes,No,7,4.4,9.8,No,Yes,Yes,No,405
Xiaomi,Xiaomi S83,61,4.9,459,3688,56,Yes,Yes,Yes,Camera,Yes,Yes,No,Yes,Yes,17,4.1,9.3,No,No,No,Yes,417
iRobot,iRobot S79 Ultra,119,2.6,596,5039,62,No,No,No,Camera,Yes,No,No,No,No,18,2.7,7.4,Yes,No,Yes,No,800
Dreame,Dreame V46,121,6.0,433,1556,62,No,Yes,No,Infrared,No,Yes,Yes,No,Yes,16,3.1,7.6,Yes,Yes,Yes,Yes,714
Samsung,Samsung R25 Ultra,177,3.7,654,5005,55,Yes,Yes,No,Lidar,Yes,Yes,No,Yes,Yes,17,4.2,10.3,No,No,Yes,No,692
Neato,Neato V49 Max,192,2.8,547,3974,69,Yes,No,Yes,Lidar,Yes,Yes,No,No,Yes,11,4.2,8.5,No,No,Yes,Yes,1011
Proscenic,Proscenic X32 Max,113,4.6,555,4891,61,Yes,Yes,No,Infrared,Yes,No,No,No,Yes,17,4.3,7.4,No,Yes,No,Yes,1077
Proscenic,Proscenic S29 Max,112,5.0,510,3801,65,No,Yes,No,Infrared,Yes,No,No,No,Yes,10,4.8,7.3,Yes,No,Yes,No,1014
Roborock,Roborock X5 Max,176,5.3,658,5922,57,Yes,No,No,Camera,No,Yes,No,Yes,Yes,17,5.2,9.5,Yes,No,No,Yes,226
